PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME
203146,Maalik Wayns,1610612742,Mavericks
203147,Chris Smith,1610612752,Knicks
203148,Brian Roberts,1610612766,Hornets
203149,Micheal Eric,1610612749,Bucks
203153,Reeves Nelson,1610612747,Lakers
203154,Greg Somogyi,1610612747,Lakers
203155,Oscar Bellfield,1610612752,Knicks
203156,Henry Sims,1610612762,Jazz
203157,John Shurna,1610612752,Knicks
203158,Kevin Jones,1610612740,Pelicans
203159,Scott Machado,1610612747,Lakers
203160,Steven Gray,1610612764,Wizards
203162,Ben Hansbrough,1610612741,Bulls
203163,Carleton Scott,1610612751,Nets
203164,Lance Goulbourne,1610612744,Warriors
203174,Tyler Wilkerson,1610612759,Spurs
203176,Kyle Fogg,1610612743,Nuggets
203178,Wesley Witherspoon,1610612759,Spurs
203180,Hank Thorns,1610612746,Clippers
203183,Tony Mitchell,1610612748,Heat
203185,Carlon Brown,1610612744,Warriors
203186,Willie Reed,1610612765,Pistons
203187,Chris Johnson,1610612745,Rockets
203190,Micah Downs,1610612738,Celtics
203192,Demonte Harper,1610612757,Trail Blazers
203193,Dallas Lauderdale,1610612766,Hornets
203195,Michael Dunigan,1610612763,Grizzlies
203196,Ronnie Aguilar,1610612747,Lakers
203197,Diante Garrett,1610612757,Trail Blazers
203198,Kevin Anderson,1610612739,Cavaliers
203199,DeQuan Jones,1610612754,Pacers
203200,Justin Holiday,1610612754,Pacers
203201,Mustapha Farrakhan,1610612746,Clippers
203204,Devin Searcy,1610612755,76ers
203206,Ryan Allen,1610612741,Bulls
203210,JaMychal Green,1610612746,Clippers
203262,Mac Koshwal,1610612755,76ers
203263,James Nunnally,1610612745,Rockets
203268,Jorge Gutierrez,1610612751,Nets
203315,Toure' Murry,1610612750,Timberwolves
203317,Tim Ohlbrecht,1610612745,Rockets
203318,Glen Rice,1610612764,Wizards
203327,Daniel Nwaelele,1610612759,Spurs
203382,Aron Baynes,1610612756,Suns
203457,Nerlens Noel,1610612760,Thunder
203458,Alex Len,1610612737,Hawks
203459,Allen Crabbe,1610612737,Hawks
203460,Andre Roberson,1610612760,Thunder
203461,Anthony Bennett,1610612745,Rockets
203462,Archie Goodwin,1610612757,Trail Blazers
203463,Ben McLemore,1610612745,Rockets
203464,Brandon Paul,1610612759,Spurs
203466,CJ Leslie,1610612752,Knicks
203467,Carrick Felix,1610612764,Wizards
203468,CJ McCollum,1610612757,Trail Blazers
203469,Cody Zeller,1610612766,Hornets
203471,Dennis Schroder,1610612760,Thunder
203472,Deshaun Thomas,1610612759,Spurs
203473,Dewayne Dedmon,1610612758,Kings
203474,DJ Stephens,1610612763,Grizzlies
203475,Erick Green,1610612762,Jazz
203476,Gorgui Dieng,1610612750,Timberwolves
203477,Isaiah Canaan,1610612749,Bucks
203479,Jamaal Franklin,1610612743,Nuggets
203480,James Southerland,1610612757,Trail Blazers
203481,Jeff Withey,1610612742,Mavericks
203482,Kelly Olynyk,1610612748,Heat
203483,Kenny Kadji,1610612739,Cavaliers
203484,Kentavious Caldwell-Pope,1610612747,Lakers
203485,Lorenzo Brown,1610612761,Raptors
203486,Mason Plumlee,1610612743,Nuggets
203487,Michael Carter-Williams,1610612753,Magic
203488,Mike Muscala,1610612760,Thunder
203489,Nate Wolters,1610612762,Jazz
203490,Otto Porter Jr.,1610612741,Bulls
203491,Peyton Siva,1610612753,Magic
203492,Ray McCallum,1610612766,Hornets
203493,Reggie Bullock,1610612752,Knicks
203494,Richard Howell,1610612757,Trail Blazers
203495,Ricky Ledo,1610612752,Knicks
203496,Robert Covington,1610612750,Timberwolves
203497,Rudy Gobert,1610612762,Jazz
203498,Shabazz Muhammad,1610612749,Bucks
203499,Shane Larkin,1610612738,Celtics
203500,Steven Adams,1610612760,Thunder
203501,Tim Hardaway Jr.,1610612742,Mavericks
203503,Tony Snell,1610612765,Pistons
203504,Trey Burke,1610612755,76ers
203505,Vander Blue,1610612747,Lakers
203506,Victor Oladipo,1610612754,Pacers
203507,Giannis Antetokounmpo,1610612749,Bucks
203508,Sergey Karasev,1610612751,Nets
203509,Myck Kabongo,1610612759,Spurs
203510,Pierre Jackson,1610612742,Mavericks
203511,Grant Jerrett,1610612757,Trail Blazers
203512,Lucas Nogueira,1610612761,Raptors
203513,Erik Murphy,1610612738,Celtics
203515,Phil Pressey,1610612744,Warriors
203516,James Ennis III,1610612755,76ers
203517,Nemanja Nedovic,1610612744,Warriors
203518,Alex Abrines,1610612760,Thunder
203519,Adonis Thomas,1610612765,Pistons
203520,Livio Jean-Charles,1610612759,Spurs
203521,Matthew Dellavedova,1610612739,Cavaliers
203524,Solomon Hill,1610612763,Grizzlies
203526,Raul Neto,1610612755,76ers
203527,Ryan Kelly,1610612737,Hawks
203528,Romero Osby,1610612753,Magic
203529,Arsalan Kazemi,1610612745,Rockets
203530,Joffrey Lauvergne,1610612759,Spurs
203539,Gal Mekel,1610612740,Pelicans
203540,Gigi Datome,1610612738,Celtics
203543,Vitor Faverani,1610612738,Celtics
203544,Pero Antic,1610612737,Hawks
203545,Miroslav Raduljica,1610612750,Timberwolves
203546,Ian Clark,1610612740,Pelicans
203547,Eric Griffin,1610612762,Jazz
203548,Elias Harris,1610612747,Lakers
203551,Dee Bost,1610612762,Jazz
203552,Seth Curry,1610612742,Mavericks
203556,Trent Lockett,1610612758,Kings
203558,David Lighty,1610612737,Hawks
203560,E.J. Singler,1610612761,Raptors
203561,Brandon Davies,1610612751,Nets
203564,Kalin Lucas,1610612765,Pistons
203565,Patrick Christopher,1610612762,Jazz
203566,Mickey McConnell,1610612742,Mavericks
203568,Damen Bell-Holter,1610612738,Celtics
203569,Chris Babb,1610612744,Warriors
203576,Rodney Williams,1610612755,76ers
203577,Carlos Morais,1610612761,Raptors
203579,Khalif Wyatt,1610612755,76ers
203580,Larry Drew II,1610612740,Pelicans
203583,Abdul Gaddy,1610612760,Thunder
